TimeOfDay	Time	E1_L13.1	E2_L08.1CG_Col0	E3_L08.2CG_example1	E4_L13.2
14:23:14.770	0	-0.000366878	-0.00219288	-0.0136764	0.00172716
14:23:15.770	1	-0.000568798	-0.00228569	-0.0130762	0.00211414
14:23:16.770	2	-0.000819161	-0.00262089	-0.0127069	0.00219415
14:23:17.770	3	-0.000367932	-0.00309984	-0.0133512	0.00216329
14:23:18.770	4	4.69863e-05	-0.0037974	-0.0149392	0.00170464
14:23:19.770	5	0.000273724	-0.00405748	-0.0157534	0.00162675
14:23:20.770	6	0.000171602	-0.00405367	-0.0151953	0.00192419
14:23:21.770	7	0.000160594	-0.00450014	-0.0149385	0.00202449
14:23:22.770	8	0.000323198	-0.00474234	-0.0154904	0.00197
14:23:23.770	9	0.00038496	-0.00511592	-0.0162137	0.00184153
14:23:24.770	10	0.000440756	-0.00530503	-0.0167486	0.00198814
14:23:25.770	11	0.000455439	-0.00521496	-0.0168836	0.00177239
14:23:26.770	12	0.000388898	-0.00525621	-0.0162374	0.00184327
14:23:27.770	13	0.00076454	-0.00536168	-0.0163432	0.00201091
14:23:28.770	14	0.00107045	-0.00524415	-0.0167752	0.00254223
14:23:29.770	15	0.00122418	-0.00510112	-0.0161327	0.00289061
14:23:30.770	16	0.00154398	-0.00511076	-0.016141	0.00328277
14:23:31.770	17	0.00135288	-0.0053833	-0.0164762	0.0034281
14:23:32.770	18	0.0014366	-0.00557993	-0.0161918	0.00395963
14:23:33.770	19	0.00188502	-0.00540406	-0.0162836	0.0044623
14:23:34.770	20	0.00214821	-0.00574973	-0.0167425	0.00469422
14:23:35.770	21	0.0021384	-0.00580809	-0.0165538	0.00496564
14:23:36.770	22	0.00221313	-0.00602287	-0.0163035	0.00532204
14:23:37.770	23	0.0024475	-0.00578736	-0.0159524	0.00541761
14:23:38.770	24	0.00240766	-0.00596288	-0.0159687	0.00549166
14:23:39.770	25	0.00260173	-0.00611499	-0.0164256	0.00572564
14:23:40.770	26	0.00261333	-0.00613927	-0.0158342	0.00599766
14:23:41.770	27	0.00272315	-0.00642383	-0.0161485	0.00625861
14:23:42.770	28	0.00284082	-0.00725482	-0.0161166	0.00647443
14:23:43.770	29	0.00320709	-0.0078237	-0.0162065	0.00661406
14:23:44.770	30	0.00366236	-0.0079751	-0.0162229	0.00670363
14:23:45.770	31	0.00417536	-0.00843451	-0.0168284	0.00694292
14:23:46.770	32	0.00442538	-0.00858834	-0.0169725	0.00704654
14:23:47.770	33	0.00470393	-0.00901475	-0.0171441	0.00749025
14:23:48.770	34	0.00487782	-0.0090532	-0.0176961	0.00753209
14:23:49.770	35	0.00550648	-0.00919942	-0.0180479	0.00714466
14:23:50.770	36	0.00600163	-0.00944422	-0.0184333	0.00732748
14:23:51.770	37	0.00622124	-0.00908355	-0.0180202	0.00716388
14:23:52.770	38	0.00635758	-0.00905388	-0.018386	0.00713693
14:23:53.770	39	0.0062932	-0.0091241	-0.0185265	0.00701595
14:23:54.770	40	0.00626789	-0.00905634	-0.0182197	0.00684701
14:23:55.770	41	0.00636622	-0.00926833	-0.0182533	0.00683499
14:23:56.770	42	0.00622516	-0.00922189	-0.0182422	0.00661213
14:23:57.770	43	0.00643378	-0.00932547	-0.0184986	0.00663173
14:23:58.770	44	0.00679349	-0.00910736	-0.018405	0.00652138
14:23:59.770	45	0.00720203	-0.00944576	-0.0186577	0.00643136
14:24:00.770	46	0.00697325	-0.00950661	-0.0187245	0.00637459
14:24:01.770	47	0.00703437	-0.00980275	-0.0190585	0.00623731
14:24:02.770	48	0.00675207	-0.00974945	-0.0191966	0.00628689
14:24:03.770	49	0.00691234	-0.00987545	-0.0188422	0.00652944
14:24:04.770	50	0.00675497	-0.00995797	-0.0188331	0.00647908
14:24:05.770	51	0.00670578	-0.00998535	-0.0186078	0.00640011
14:24:06.770	52	0.00682961	-0.0102426	-0.0191089	0.00601114
14:24:07.770	53	0.00679614	-0.0105525	-0.019258	0.00570089
14:24:08.770	54	0.00630304	-0.0108578	-0.0198053	0.00540298
14:24:09.770	55	0.00603024	-0.0109222	-0.0198984	0.00511384
14:24:10.770	56	0.00594315	-0.0110484	-0.0198877	0.00497773
14:24:11.770	57	0.00530629	-0.0110925	-0.0202125	0.00454237
14:24:12.770	58	0.00562061	-0.0114727	-0.0203058	0.00445099
14:24:13.770	59	0.00518491	-0.0122605	-0.0203395	0.00439218
14:24:14.770	60	0.00522497	-0.012477	-0.0206804	0.00404243
14:24:15.770	61	0.00489755	-0.0125744	-0.0207338	0.00407251
14:24:16.770	62	0.00488486	-0.0121743	-0.0207157	0.00388941
14:24:17.770	63	0.00469942	-0.012419	-0.0211372	0.0033133
14:24:18.770	64	0.00476687	-0.0126865	-0.0214926	0.00265562
14:24:19.770	65	0.00461672	-0.0127661	-0.0217408	0.00223305
14:24:20.770	66	0.00521602	-0.0135627	-0.0215663	0.00201776
14:24:21.770	67	0.00594133	-0.0132604	-0.021769	0.00165336
14:24:22.770	68	0.00561271	-0.0136238	-0.0222623	0.00152951
14:24:23.770	69	0.00593566	-0.013446	-0.0223322	0.00136142
14:24:24.770	70	0.00599326	-0.0136672	-0.022699	0.000731049
14:24:25.770	71	0.00615739	-0.0136215	-0.0232926	0.000618932
14:24:26.770	72	0.00565126	-0.0139525	-0.0237101	9.06967e-05
14:24:27.770	73	0.00574803	-0.0139195	-0.0234636	-0.000139661
14:24:28.770	74	0.00544208	-0.0141293	-0.0241736	-0.000318605
14:24:29.770	75	0.00586512	-0.0146785	-0.0246417	-0.000477188
14:24:30.770	76	0.00642254	-0.0151892	-0.0248155	-0.00064362
14:24:31.770	77	0.00681973	-0.015965	-0.0250343	-0.000537815
14:24:32.770	78	0.00699912	-0.0169467	-0.0250913	-0.000897271
14:24:33.770	79	0.00712954	-0.018133	-0.0251756	-0.000848251
14:24:34.770	80	0.007889	-0.0188343	-0.0260809	-0.00139047
14:24:35.770	81	0.00793799	-0.0187289	-0.0263756	-0.00188507
14:24:36.770	82	0.00821448	-0.0182441	-0.0268383	-0.00217022
14:24:37.770	83	0.00849924	-0.0187725	-0.0266224	-0.00252303
14:24:38.770	84	0.00868055	-0.019174	-0.0269226	-0.00252863
14:24:39.770	85	0.0084288	-0.0193041	-0.0271593	-0.00278522
14:24:40.770	86	0.0088948	-0.0195736	-0.0271368	-0.00307873
14:24:41.770	87	0.00922875	-0.0192387	-0.0273889	-0.00331734
14:24:42.770	88	0.00938467	-0.0196004	-0.0276951	-0.00415914
14:24:43.770	89	0.00942481	-0.0204072	-0.0282975	-0.00486024
14:24:44.770	90	0.00912216	-0.0222001	-0.0284334	-0.00509721
14:24:45.770	91	0.00891099	-0.0237552	-0.0286082	-0.0052649
14:24:46.770	92	0.00852087	-0.027509	-0.029024	-0.00532581	F1
14:24:47.770	93	0.0139373	-0.0753892	-0.0290736	-0.00572582
14:24:48.770	94	0.0141831	-0.106309	-0.0291199	-0.00587399	F1
14:24:49.770	95	0.0139963	-0.123686	-0.0289422	-0.00575182
14:24:50.770	96	0.0131112	-0.20475	-0.0289099	-0.00592113
14:24:51.770	97	0.0124901	-0.323512	-0.0293543	-0.00640269
14:24:52.770	98	0.0120708	-0.502362	-0.0299042	-0.00662929	F1
14:24:53.770	99	0.0114354	-0.736109	-0.0569099	-0.00243908
14:24:54.770	100	0.0117541	-0.812079	-0.049072	-0.00468836	F1
14:24:55.770	101	0.0120134	-0.776935	-0.0465554	-0.00310859
14:24:56.770	102	0.0121849	-0.717198	-0.053743	-0.00306592
14:24:57.770	103	0.0120147	-0.666807	-0.0527868	-0.00388611
14:24:58.770	104	0.011732	-0.614583	-0.0551115	-0.00459863
14:24:59.770	105	0.0111589	-0.562335	-0.0569935	-0.00549723
14:25:00.770	106	0.010449	-0.512594	-0.0622188	-0.00628996
14:25:01.770	107	0.00952019	-0.478001	-0.0636676	-0.00742163
14:25:02.770	108	0.0091735	-0.494855	-0.0645214	-0.00792468
14:25:03.770	109	0.00857427	-0.570377	-0.0655456	-0.00814983
14:25:04.770	110	0.00840209	-0.687581	-0.0685733	-0.00831579
14:25:05.770	111	0.00857443	-0.82418	-0.0747283	-0.00881908
14:25:06.770	112	0.00872956	-0.921895	-0.101188	-0.00941134
14:25:07.770	113	0.00962094	-0.965491	-0.193869	-0.00987072
14:25:08.770	114	0.0101705	-0.963909	-0.416418	-0.0101194
14:25:09.770	115	0.00913507	-0.974465	-0.6702	-0.010252
14:25:10.770	116	0.00821408	-0.989288	-0.774306	-0.0104561
14:25:11.770	117	0.00791773	-1.00064	-0.780569	-0.0109285
14:25:12.770	118	0.00838161	-1.00656	-0.776981	-0.0116716
14:25:13.770	119	0.00871583	-1.01671	-0.776099	-0.0125069
14:25:14.770	120	0.00915953	-1.02389	-0.77955	-0.0129849
14:25:15.770	121	0.00972529	-1.02424	-0.789336	-0.0134694
14:25:16.770	122	0.0103167	-1.01927	-0.797423	-0.0143156
14:25:17.770	123	0.011824	-1.00792	-0.801956	-0.0148013
14:25:18.770	124	0.0141756	-0.991363	-0.803067	-0.0150171
14:25:19.770	125	0.0182852	-0.96583	-0.799604	-0.0151969
14:25:20.770	126	0.024289	-0.935631	-0.788702	-0.0152444
14:25:21.770	127	0.0339034	-0.90741	-0.767938	-0.0132365
14:25:22.770	128	0.0454212	-0.880835	-0.743638	-0.00049777
14:25:23.770	129	0.0593978	-0.856323	-0.711452	0.0181918
14:25:24.770	130	0.0751603	-0.833676	-0.683298	0.0334162
14:25:25.770	131	0.0964199	-0.80667	-0.657341	0.0472589
14:25:26.770	132	0.117564	-0.779977	-0.635411	0.0606707
14:25:27.770	133	0.143923	-0.74927	-0.616255	0.0709653
14:25:28.770	134	0.17813	-0.713179	-0.59073	0.0864295
14:25:29.770	135	0.223183	-0.667504	-0.554979	0.108834
14:25:30.770	136	0.260362	-0.623768	-0.509441	0.129767
14:25:31.770	137	0.278584	-0.587171	-0.469979	0.0856817
14:25:32.770	138	0.299103	-0.528374	-0.439694	-0.0262534
14:25:33.770	139	0.244943	-0.462674	-0.416613	-0.17002
14:25:34.770	140	-0.0107425	-0.422398	-0.40473	-0.319886
14:25:35.770	141	-0.356996	-0.407596	-0.394593	-0.521581
14:25:36.770	142	-0.365859	-0.3963	-0.385115	-0.614882
14:25:37.770	143	-0.313224	-0.387883	-0.373085	-0.600102
14:25:38.770	144	-0.290478	-0.380013	-0.362421	-0.57314
14:25:39.770	145	-0.28021	-0.373341	-0.353668	-0.556122
14:25:40.770	146	-0.276728	-0.367044	-0.346636	-0.54597
14:25:41.770	147	-0.273231	-0.357446	-0.342335	-0.542443
14:25:42.770	148	-0.268226	-0.346451	-0.338117	-0.540783
14:25:43.770	149	-0.263596	-0.335233	-0.334408	-0.540845
14:25:44.770	150	-0.2587	-0.323214	-0.331937	-0.541515
14:25:45.770	151	-0.262295	-0.321178	-0.329663	-0.54049
