Time	E1_L08.1PG_Col0	E2_L13.1	E3_L08.2PG_example1	E4_L13.2
0	-0.00533144	-0.0052863	0.0375277	0.00412694
0.01	-0.00589558	-0.00543891	0.0375349	0.00434611
0.02	-0.00597386	-0.00539202	0.0375484	0.0044128
0.03	-0.00577124	-0.00557252	0.0375538	0.00433862
0.04	-0.00560964	-0.00522205	0.0377994	0.00432297
0.05	-0.00568309	-0.00557817	0.0375888	0.00449467
0.06	-0.00568007	-0.00538886	0.037618	0.0044479
0.07	-0.00564503	-0.00538905	0.0375043	0.0044707
0.08	-0.00562358	-0.00519634	0.0375252	0.00446527
0.09	-0.00580825	-0.00535976	0.0376872	0.00434898
0.1	-0.00572673	-0.00524941	0.0375697	0.00406703
0.11	-0.0057831	-0.00555811	0.0375439	0.00427991
0.12	-0.00583159	-0.00528621	0.0377513	0.00433217
0.13	-0.00582272	-0.00527331	0.0377838	0.00422544
0.14	-0.00547398	-0.00508227	0.038131	0.0041273
0.15	-0.00585698	-0.00536684	0.0377915	0.00417257
0.16	-0.00588714	-0.00522088	0.0379751	0.00448211
0.17	-0.00600937	-0.00524548	0.0378098	0.00434602
0.18	-0.0059032	-0.00532179	0.0373633	0.0044166
0.19	-0.0058359	-0.00531022	0.037564	0.00454988
0.2	-0.00574966	-0.0052522	0.0375478	0.00418407
0.21	-0.00594817	-0.00538391	0.037765	0.00430777
0.22	-0.00579736	-0.00529238	0.0379529	0.00417543
0.23	-0.00599943	-0.00534107	0.0378307	0.00425103
0.24	-0.00561852	-0.00508481	0.0380164	0.00425251
0.25	-0.00594419	-0.00551845	0.037838	0.00425054
0.26	-0.00577024	-0.00521201	0.0377122	0.00409641
0.27	-0.00606835	-0.00527601	0.0374224	0.00432386
0.28	-0.0058927	-0.00528373	0.0379212	0.0040918
0.29	-0.00591177	-0.00542367	0.0378488	0.00439285
0.3	-0.00582402	-0.00519398	0.0381241	0.00427814
0.31	-0.00593136	-0.00533103	0.0379876	0.0043726
0.32	-0.00595681	-0.00526285	0.0379132	0.00413726
0.33	-0.00606955	-0.00541603	0.0382108	0.00426061
0.34	-0.00575214	-0.00494974	0.0384657	0.00443893
0.35	-0.00589274	-0.00524156	0.0379944	0.00446292
0.36	-0.00590464	-0.00520105	0.03802	0.00420593
0.37	-0.00594353	-0.00532	0.038079	0.00427093
0.38	-0.00584451	-0.00525899	0.038073	0.00422689
0.39	-0.00591337	-0.00524618	0.0379207	0.00445004
0.4	-0.00573184	-0.00524475	0.0378306	0.00419224
0.41	-0.00597818	-0.00539377	0.0377376	0.00426381
0.42	-0.00593983	-0.00509163	0.0381667	0.00416129
0.43	-0.0058698	-0.00516016	0.0380053	0.00417747
0.44	-0.00550242	-0.00504186	0.0383679	0.00429128
0.45	-0.00587664	-0.00531721	0.0382054	0.00425478
0.46	-0.00591719	-0.00502091	0.0385133	0.00427494
0.47	-0.00595935	-0.00524217	0.0378075	0.00423101
0.48	-0.00580903	-0.00505796	0.0383885	0.0040441
0.49	-0.00583875	-0.00531113	0.0382343	0.00431265
0.5	-0.0057791	-0.00520475	0.0383405	0.00435302
0.51	-0.00600499	-0.0052031	0.0380877	0.00454985
0.52	-0.00588346	-0.00519332	0.0383859	0.00444325
0.53	-0.00589709	-0.00538697	0.0378486	0.00441241
0.54	-0.00584977	-0.00511369	0.0384378	0.00429648
0.55	-0.00602783	-0.00538022	0.0379524	0.00436754
0.56	-0.00575424	-0.00525921	0.0382832	0.00422585
0.57	-0.00616872	-0.0053084	0.0379577	0.00452266
0.58	-0.00587001	-0.00495047	0.0385801	0.00454394
0.59	-0.00598916	-0.0052166	0.0383005	0.00468721
0.6	-0.00580481	-0.00516941	0.0384575	0.0045577
0.61	-0.00596294	-0.00523452	0.0379684	0.00439941
0.62	-0.00594839	-0.004995	0.0383879	0.00424983
0.63	-0.00599115	-0.00529328	0.0381476	0.00446908
0.64	-0.00555665	-0.00514359	0.0388569	0.0044091
0.65	-0.0060742	-0.00523226	0.0381178	0.00432542
0.66	-0.00594905	-0.00510345	0.0386154	0.00420981
0.67	-0.00597557	-0.00525396	0.0382226	0.00418189
0.68	-0.00602171	-0.00512423	0.0383329	0.003976
0.69	-0.00619873	-0.00525048	0.0381178	0.00441234
0.7	-0.00591245	-0.00514375	0.0385679	0.00446504
0.71	-0.00586028	-0.00512683	0.0382394	0.00448841
0.72	-0.00586655	-0.00522599	0.0385161	0.00431401
0.73	-0.00592763	-0.00534332	0.0382148	0.00455327
0.74	-0.00550397	-0.00516813	0.0388286	0.00466944
0.75	-0.00608599	-0.00527683	0.0382604	0.00455031
0.76	-0.00602762	-0.00512454	0.0381949	0.00445983
0.77	-0.00610353	-0.00521228	0.0381948	0.00455015
0.78	-0.00601442	-0.00519193	0.0383232	0.00449912
0.79	-0.00594851	-0.0053617	0.0383357	0.00461552
0.8	-0.00571347	-0.00528275	0.0385405	0.0042902
0.81	-0.00600146	-0.00528667	0.0382784	0.00449658
0.82	-0.00581389	-0.00514743	0.0385203	0.00441082
0.83	-0.00603696	-0.00521264	0.0383023	0.00455123
0.84	-0.00567737	-0.0048345	0.0388211	0.00460778
0.85	-0.00594205	-0.0051643	0.0383719	0.0045563
0.86	-0.00601822	-0.00517173	0.0384045	0.00433251
0.87	-0.0059295	-0.0053261	0.0383257	0.00450136
0.88	-0.00586092	-0.00515893	0.0384935	0.00434326
0.89	-0.00611582	-0.00541838	0.0385966	0.0045834
0.9	-0.0059999	-0.00505278	0.0389108	0.00458279
0.91	-0.00609452	-0.005065	0.0385099	0.00456132
0.92	-0.00603775	-0.00508177	0.0387272	0.00438999
0.93	-0.0061215	-0.00530876	0.0385276	0.00445683
0.94	-0.00603693	-0.0051575	0.0387997	0.00422757
0.95	-0.0061827	-0.00525522	0.0385294	0.00417783
0.96	-0.00607073	-0.00492951	0.0385239	0.00427687
0.97	-0.0062273	-0.0051603	0.038499	0.00428572
0.98	-0.00614999	-0.00505311	0.0383728	0.00439269
0.99	-0.0062026	-0.00527004	0.0381765	0.00451927
1	-0.00613771	-0.00510335	0.0382391	0.0044241
1.01	-0.00644214	-0.0051463	0.0381374	0.00444041
1.02	-0.00621975	-0.00526549	0.0380829	0.00431514
1.03	-0.00638069	-0.00541037	0.038425	0.00443673
1.04	-0.00638355	-0.00514708	0.0384626	0.00447385
1.05	-0.00639109	-0.00528218	0.0384229	0.004502
1.06	-0.00637779	-0.00502571	0.0388033	0.00443883
1.07	-0.00638745	-0.00539453	0.0384226	0.00436229
1.08	-0.00636892	-0.00515325	0.0386189	0.00429126
1.09	-0.00645901	-0.00521363	0.0384962	0.00433194
1.1	-0.00629733	-0.00524271	0.0386682	0.00438425
1.11	-0.00638286	-0.00511282	0.0384755	0.00438631
1.12	-0.00634268	-0.00504882	0.0383275	0.00429102
1.13	-0.00643918	-0.00522595	0.0382912	0.00434717
1.14	-0.00627043	-0.00509166	0.0384167	0.00443344
1.15	-0.0063468	-0.00521067	0.0388251	0.00456021
1.16	-0.0062444	-0.00501511	0.038807	0.00461747
1.17	-0.00635418	-0.00516903	0.0381811	0.00475286
1.18	-0.00629102	-0.00507985	0.0388481	0.00437804
1.19	-0.00635482	-0.00538281	0.0386251	0.00442823
1.2	-0.00620708	-0.00529987	0.0386735	0.00444579
1.21	-0.00625586	-0.00514298	0.0387159	0.00462127
