Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L08.2PG_Col.0	E4_L13.2
0	0.0486789	-0.00336175	0.0228535	-0.00253712
0.01	0.0487844	-0.0033919	0.0228262	-0.00267037
0.02	0.0487332	-0.00340282	0.022489	-0.00263746
0.03	0.0486669	-0.00340029	0.0228252	-0.0026597
0.04	0.0483684	-0.00348893	0.0229619	-0.00271593
0.05	0.0486143	-0.00339473	0.022803	-0.00260908
0.06	0.0485811	-0.00354289	0.0227363	-0.00270824
0.07	0.0487601	-0.0033005	0.0229132	-0.00256615
0.08	0.0484968	-0.00342876	0.0229023	-0.00264784
0.09	0.0485524	-0.00326241	0.0228609	-0.00250026
0.1	0.0484337	-0.00356208	0.022601	-0.00244558
0.11	0.0484309	-0.00343794	0.0224185	-0.00250269
0.12	0.0482493	-0.00339973	0.0226772	-0.00280063
0.13	0.0483277	-0.00325509	0.0225546	-0.00276159
0.14	0.0483553	-0.00332232	0.0223075	-0.00277608
0.15	0.0484357	-0.00323148	0.0224601	-0.0025964
0.16	0.0483096	-0.0032236	0.0225844	-0.00262299
0.17	0.0484017	-0.00326188	0.0225012	-0.00254133
0.18	0.0481892	-0.00323847	0.0228691	-0.00257679
0.19	0.0484771	-0.00323846	0.0227787	-0.00256846
0.2	0.048482	-0.00347782	0.0225666	-0.00257473
0.21	0.0485156	-0.00323638	0.0224535	-0.00257905
0.22	0.048527	-0.00333902	0.0222545	-0.0026665
0.23	0.0486299	-0.00347692	0.0222273	-0.00253369
0.24	0.0484234	-0.00362516	0.0224034	-0.00266251
0.25	0.0484031	-0.00358673	0.0227251	-0.00269894
0.26	0.0481702	-0.00345844	0.0228574	-0.00283809
0.27	0.0485305	-0.00329953	0.0227105	-0.00294377
0.28	0.0484121	-0.00344222	0.0227832	-0.00286594
0.29	0.0485374	-0.00346068	0.0229594	-0.0025939
0.3	0.04856	-0.00377761	0.0231038	-0.00275453
0.31	0.048466	-0.00343491	0.0229997	-0.00267157
0.32	0.0485271	-0.00354607	0.0233727	-0.00271245
0.33	0.0485605	-0.0035624	0.0236242	-0.00256599
0.34	0.0482394	-0.00342771	0.0235137	-0.00270328
0.35	0.0484796	-0.00335641	0.0232741	-0.00255648
0.36	0.0484746	-0.00350398	0.023493	-0.0027315
0.37	0.0484604	-0.00328723	0.0236026	-0.00249341
0.38	0.048412	-0.00334529	0.0232577	-0.00263174
0.39	0.0485433	-0.00341175	0.0230225	-0.00262767
0.4	0.0486113	-0.00360534	0.0226847	-0.00267631
0.41	0.0486775	-0.00357931	0.0231975	-0.00274673
0.42	0.0483767	-0.00376211	0.0232469	-0.00286701
0.43	0.0486011	-0.00346989	0.0231492	-0.00264688
0.44	0.0485286	-0.00355778	0.0230266	-0.00273228
0.45	0.0485138	-0.00349407	0.0229319	-0.00282528
0.46	0.0484817	-0.00359998	0.0230672	-0.00274727
0.47	0.0485121	-0.00347313	0.0230744	-0.00277275
0.48	0.0483293	-0.00377648	0.0230415	-0.00279028
0.49	0.0486131	-0.00351498	0.0230531	-0.00265027
0.5	0.0486301	-0.00354156	0.0231698	-0.00274374
0.51	0.0485671	-0.00355998	0.0229981	-0.00281316
0.52	0.0484033	-0.00352723	0.023252	-0.00261668
0.53	0.0485953	-0.0036142	0.0232596	-0.00272009
0.54	0.0483196	-0.00381736	0.023132	-0.00272012
0.55	0.0483992	-0.00352137	0.0233598	-0.00267142
0.56	0.0482827	-0.00358483	0.0230118	-0.00291767
0.57	0.048513	-0.00338609	0.0230835	-0.00282852
0.58	0.0483856	-0.00360582	0.0233017	-0.00285541
0.59	0.0484424	-0.0036169	0.0232559	-0.00284837
0.6	0.0484494	-0.00349767	0.0232318	-0.00279238
0.61	0.0483849	-0.00331908	0.0232187	-0.00292886
0.62	0.0481384	-0.00340299	0.0230665	-0.002917
0.63	0.0482621	-0.00346107	0.0229989	-0.00281219
0.64	0.048193	-0.00345002	0.0232182	-0.0030312
0.65	0.0484376	-0.00348076	0.0230665	-0.00285978
0.66	0.0483493	-0.0035216	0.0233267	-0.00289166
0.67	0.0484989	-0.00351828	0.0233498	-0.00275841
0.68	0.0484225	-0.00354848	0.0230852	-0.00271748
0.69	0.0485191	-0.00343801	0.0232618	-0.00269309
0.7	0.0483539	-0.00377466	0.023123	-0.0026568
0.71	0.0484014	-0.00367262	0.0231812	-0.00280093
0.72	0.0483686	-0.00391969	0.0230075	-0.00289237
