Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L13.2	E4_L08.2PG_Col.0
0	0.00054262	0.00319767	-0.00162052	0.0182479
0.01	2.46827e-05	0.00265215	-0.00193639	0.0182682
0.02	-6.46598e-05	0.00286703	-0.00176003	0.018502
0.03	4.86086e-05	0.00273321	-0.00170514	0.0189086
0.04	-7.84503e-05	0.00305998	-0.0019707	0.0189614
0.05	-3.05647e-05	0.00307174	-0.00207451	0.0192619
0.06	4.53952e-05	0.00311911	-0.00220222	0.0192453
0.07	-8.55516e-05	0.00311615	-0.0020672	0.0198137
0.08	-6.43749e-05	0.00314555	-0.00182193	0.0161194
0.09	8.20637e-06	0.00295223	-0.00175616	0.0150272
0.1	-7.89605e-07	0.00310353	-0.00190305	0.0164672
0.11	4.54937e-05	0.00280896	-0.00191792	0.0167822
0.12	-9.47611e-06	0.00305645	-0.00188386	0.0156167
0.13	-5.08135e-05	0.00293801	-0.00188182	0.0156051
0.14	-0.000138313	0.00318831	-0.00183853	0.0157934
0.15	8.22647e-06	0.00310735	-0.00176532	0.015959
0.16	-9.89439e-05	0.00307203	-0.00183544	0.0155259
0.17	-6.77069e-06	0.0029064	-0.00159561	0.0152664
0.18	-0.000143242	0.00334516	-0.00121819	0.0156068
0.19	-0.000147909	0.00307668	-0.00141514	0.0163516
0.2	-0.000144691	0.00306489	-0.0016214	0.0159404
0.21	-6.01079e-05	0.00288097	-0.00175937	0.015445
0.22	-0.000174803	0.00305739	-0.00188498	0.0154091
0.23	-0.000131436	0.0029079	-0.0019131	0.0156703
0.24	-6.69257e-05	0.0029709	-0.00190222	0.015511
0.25	-3.37282e-05	0.00285881	-0.00185872	0.0157531
0.26	-1.37616e-05	0.00289412	-0.00186086	0.015781
0.27	-0.000103267	0.00279256	-0.00197116	0.0158387
0.28	-4.99413e-05	0.00300523	-0.00212729	0.0153897
0.29	-1.99192e-05	0.00278855	-0.0021728	0.0153778
0.3	-3.51897e-05	0.00290818	-0.00223916	0.0149348
0.31	-3.89135e-05	0.00257904	-0.0021563	0.0150701
0.32	-0.000131663	0.00253046	-0.00214581	0.0151689
0.33	-0.000163278	0.00295453	-0.0021144	0.015329
0.34	-0.000110464	0.00310784	-0.0019492	0.0152884
0.35	2.53201e-05	0.00292014	-0.00192232	0.0152801
0.36	-8.52941e-05	0.00280717	-0.0020873	0.0152902
0.37	-5.81179e-05	0.00270685	-0.00196064	0.015209
0.38	-0.000158407	0.00301603	-0.00170043	0.0149514
0.39	3.15392e-06	0.00265618	-0.00187744	0.0150953
0.4	-0.000252845	0.00289629	-0.00183785	0.0158194
0.41	-0.000114793	0.00263909	-0.00202337	0.0160707
0.42	-0.0002078	0.00298272	-0.00181153	0.0160731
0.43	-0.000126052	0.00290109	-0.001709	0.016376
0.44	-0.000178885	0.00270905	-0.00191166	0.0170874
0.45	-5.59688e-05	0.00246001	-0.00178742	0.016926
0.46	-0.000180912	0.00270413	-0.00193866	0.0165656
0.47	-6.03329e-05	0.00283286	-0.00186509	0.0162446
0.48	-0.000156844	0.00285164	-0.00178508	0.0166382
0.49	-2.9514e-05	0.00246739	-0.00166339	0.0164335
0.5	-7.12323e-06	0.00267502	-0.00176591	0.0161373
0.51	-9.52005e-05	0.00254254	-0.00171601	0.0146086
0.52	-0.000119263	0.00275467	-0.00149396	0.0148032
0.53	-2.87111e-05	0.00272517	-0.00171066	0.0153235
0.54	-7.32562e-05	0.00279992	-0.00186742	0.016404
0.55	5.68723e-05	0.00249558	-0.00203711	0.0167224
0.56	-9.17772e-05	0.00275029	-0.00214581	0.0169076
0.57	-9.21623e-05	0.00262999	-0.00198395	0.0171837
0.58	3.31441e-06	0.0027766	-0.00150127	0.0167617
0.59	-3.83078e-05	0.00271445	-0.00176161	0.0169061
0.6	-5.70461e-05	0.00261349	-0.00173675	0.0170434
0.61	7.10808e-05	0.00241273	-0.00177616	0.0172601
0.62	5.03373e-05	0.00244655	-0.00209144	0.0166117
0.63	9.89393e-05	0.00250118	-0.00185836	0.0165968
0.64	-1.35283e-05	0.0024881	-0.00174503	0.0168431
0.65	-1.42588e-05	0.00232016	-0.00209568	0.0170071
0.66	4.56554e-05	0.00246241	-0.00179582	0.0169067
0.67	-3.71419e-05	0.00258157	-0.00190576	0.0169253
0.68	-7.09465e-05	0.00254192	-0.0018127	0.0167245
0.69	-3.3116e-05	0.0024898	-0.00164727	0.0172564
0.7	-0.000160191	0.00265897	-0.00177523	0.0172587
0.71	-0.000130369	0.00255838	-0.0018395	0.0165534
0.72	-0.000173843	0.00258342	-0.0016847	0.0163117
0.73	-3.54474e-05	0.00250951	-0.0017658	0.0153077
0.74	-0.000140722	0.00262347	-0.00163478	0.0151435
0.75	-0.00012038	0.00235746	-0.00180314	0.0156038
0.76	-9.49635e-05	0.00243067	-0.00194149	0.0157079
0.77	-0.000278	0.00261972	-0.00207247	0.0161009
0.78	-0.000302928	0.0025907	-0.00188256	0.0164768
0.79	-0.000235557	0.0025595	-0.00210173	0.0162324
0.8	-7.16138e-05	0.00257155	-0.00193785	0.0162157
0.81	-5.1611e-05	0.00245139	-0.00202202	0.0171385
0.82	-2.52272e-05	0.00251697	-0.00175419	0.0183519
0.83	-0.000126047	0.00241156	-0.00187579	0.0182653
0.84	-0.000166394	0.00243526	-0.00176394	0.018173
0.85	-0.000182493	0.0023373	-0.00183461	0.0178073
0.86	-0.000154956	0.0022911	-0.00189315	0.0167414
0.87	-7.75408e-05	0.00237048	-0.00205297	0.0171913
0.88	-0.000137404	0.0026797	-0.00182988	0.0169261
0.89	-8.57583e-05	0.00249344	-0.00197549	0.0174541
0.9	-0.000140884	0.00260784	-0.00210957	0.017634
0.91	-4.82929e-05	0.00236986	-0.00206557	0.017398
0.92	-0.000112008	0.00223307	-0.00211883	0.0172504
0.93	4.95634e-05	0.00215675	-0.00194476	0.0174568
0.94	3.44539e-05	0.0023041	-0.00216001	0.0181852
0.95	-0.000104567	0.00222144	-0.00209573	0.0185302
0.96	-0.000156585	0.00237331	-0.00195198	0.0182878
0.97	-0.00011102	0.0021774	-0.00202909	0.0177383
0.98	-7.6269e-05	0.00246895	-0.00201603	0.0179724
0.99	-5.22493e-05	0.00221268	-0.00185328	0.0176881
1	-9.05213e-05	0.00216268	-0.00201721	0.0181257
1.01	-0.000174968	0.00234891	-0.00195961	0.0177647
1.02	-1.85244e-06	0.00209631	-0.00206039	0.0177304
1.03	-0.000161736	0.00210088	-0.00183572	0.0174187
1.04	-5.84851e-05	0.00249015	-0.00195738	0.0169333
1.05	-4.86671e-05	0.00232985	-0.00200904	0.0171307
