TimeOfDay	Time	E1_L08.1CG_Col0	E2_L13.1	E3_L08.2CG_mutant	E4_L13.2
15:19:44.953	0	-0.00262121	-0.00162221	0.0112012	-0.00269439
15:19:45.953	1	-0.00337562	-0.00222326	0.0105645	-0.00252463
15:19:46.953	2	-0.00359069	-0.00278142	0.0108854	-0.00291955
15:19:47.953	3	-0.00361001	-0.00328386	0.0104922	-0.00260786
15:19:48.953	4	-0.0031979	-0.00332845	0.0106699	-0.00197014
15:19:49.953	5	-0.00341552	-0.00304257	0.0109177	-0.00141689
15:19:50.953	6	-0.00304323	-0.00287183	0.0109655	-0.00083547
15:19:51.953	7	-0.00289606	-0.00295509	0.0115918	-0.000911877
15:19:52.953	8	-0.00304111	-0.00308916	0.0122655	-0.00244513
15:19:53.953	9	-0.00287296	-0.00358806	0.0123734	-0.00466735
15:19:54.953	10	-0.00311356	-0.0038576	0.012381	-0.00584983
15:19:55.953	11	-0.00281228	-0.00442229	0.0122865	-0.0106046
15:19:56.953	12	-0.00333133	-0.0050822	0.0119422	-0.0108124
15:19:57.953	13	-0.00304663	-0.00546622	0.0121097	-0.0108231
15:19:58.953	14	-0.00300918	-0.00608491	0.0124221	-0.0106932
15:19:59.953	15	-0.00280437	-0.0068107	0.012487	-0.0100871
15:20:00.953	16	-0.00309234	-0.00654395	0.0132475	-0.00898539
15:20:01.953	17	-0.00241675	-0.00622164	0.0128747	-0.00838631
15:20:02.953	18	-0.00156314	-0.00552361	0.0134689	-0.00819947
15:20:03.953	19	-0.00114329	-0.00463871	0.0140206	-0.00801228
15:20:04.953	20	-0.000843596	-0.003982	0.0135745	-0.00815819
15:20:05.953	21	-0.000333804	-0.00270425	0.0135245	-0.0080713
15:20:06.953	22	-0.00019681	-0.00222165	0.0132403	-0.00749606
15:20:07.953	23	0.000623556	-0.00120633	0.0123456	-0.00706999
15:20:08.953	24	0.00094947	5.62763e-05	0.0121924	-0.00640508
15:20:09.953	25	0.00207582	0.000661897	0.0118571	-0.00596256
15:20:10.953	26	0.00287288	0.00170855	0.00646414	-0.00581574
15:20:11.953	27	0.00300735	0.00243519	0.00629079	-0.00537669
15:20:12.953	28	0.00418823	0.00433968	0.00644726	-0.00495202
15:20:13.953	29	0.00455376	0.00532095	0.00687181	-0.004753
15:20:14.953	30	0.0049904	0.0056807	0.007254	-0.0046179
15:20:15.953	31	0.00502617	0.00618772	0.00857359	-0.0042657
15:20:16.953	32	0.00549798	0.00650049	0.00911754	-0.00419038
15:20:17.953	33	0.00594413	0.00702242	0.0094792	-0.00381326
15:20:18.953	34	0.0057138	0.00744084	0.010467	-0.00354625
15:20:19.953	35	0.00621858	0.00844286	0.0105279	-0.0031897
15:20:20.953	36	0.00675871	0.0088518	0.0104246	-0.002833
15:20:21.953	37	0.0065224	0.00913884	0.0101049	-0.00214015
15:20:22.953	38	0.00727587	0.00975241	0.010327	-0.00217103
15:20:23.953	39	0.00726027	0.00970031	0.0101941	-0.00165974
15:20:24.953	40	0.00735617	0.00968866	0.0101215	-0.00153024
15:20:25.953	41	0.00715783	0.0102581	0.0102397	-0.00135201
15:20:26.953	42	0.00706556	0.00974234	0.0103491	-0.00155569
15:20:27.953	43	0.00680894	0.00933568	0.0103219	-0.00188082
15:20:28.953	44	0.00611594	0.00916437	0.0106531	-0.00142421
15:20:29.953	45	0.00649275	0.00903917	0.0105101	-0.000921286
15:20:30.953	46	0.00652838	0.00952255	0.0109084	-0.000476973
15:20:31.953	47	0.00718936	0.00927685	0.0109759	-0.000359339
15:20:32.953	48	0.0076737	0.00942862	0.0111876	-3.94233e-05
15:20:33.953	49	0.00849558	0.00935508	0.0112073	-0.000109389
15:20:34.953	50	0.0088399	0.00956324	0.0115192	-4.29502e-06
15:20:35.953	51	0.00913995	0.00969708	0.0112614	-0.000215458
15:20:36.953	52	0.00925327	0.00982763	0.0105678	-7.2334e-05
15:20:37.953	53	0.0082253	0.00877691	0.00957155	0.000173816
15:20:38.953	54	0.00762606	0.00799915	0.00914136	0.000172902
15:20:39.953	55	0.00807415	0.00655908	0.00825461	-0.000838808
15:20:40.953	56	0.00653744	0.00419094	0.00768584	-0.00143508
15:20:41.953	57	0.00379866	0.00247078	0.00656797	-0.00171717
15:20:42.953	58	0.000732314	0.00114345	0.00586985	-0.00221351
15:20:43.953	59	-0.000467141	0.000662433	0.00607105	-0.00271885
15:20:44.953	60	-0.00110667	0.000880372	0.00654191	-0.00321448
15:20:45.953	61	-0.00112905	0.000579147	0.00732198	-0.00319416
15:20:46.953	62	-0.00118569	0.00116418	0.00743498	-0.00307001
15:20:47.953	63	-0.000283143	0.00189196	0.0070007	-0.00320432
15:20:48.953	64	0.000276232	0.00230929	0.0064906	-0.00336117
15:20:49.953	65	0.00177917	0.00223703	0.00619197	-0.00373579
15:20:50.953	66	0.00273113	0.00175301	0.00695187	-0.00484083
15:20:51.953	67	0.00330172	0.00159281	0.00704581	-0.00497998
15:20:52.953	68	0.00273307	0.00126366	0.00805585	-0.0052798
