TimeOfDay	Time	E1_L13.1	E2_L08.1CG_Col0	E3_L13.2	E4_L08.2CG_almt5-1
14:53:16.516	0	-0.00242745	0.00010637	-0.000526139	-0.00461155
14:53:17.516	1	-0.00230001	-0.000124012	-0.000598306	-0.00617668
14:53:18.516	2	-0.00239069	-0.000416265	-3.47589e-05	-0.00769246
14:53:19.516	3	-0.00255332	-0.00137759	0.000278684	-0.009191
14:53:20.516	4	-0.00222518	-0.0026189	-4.95008e-05	-0.0105651
14:53:21.516	5	-0.00149162	-0.00219765	-8.74868e-05	-0.0130367
14:53:22.516	6	-0.00151879	-0.00232981	-0.000690706	-0.0145614
14:53:23.516	7	-0.00161483	-0.00256334	-0.00105529	-0.0160103
14:53:24.516	8	-0.00216387	-0.00282024	-0.00104924	-0.0174512
14:53:25.516	9	-0.00199265	-0.00275007	6.51988e-05	-0.0181003
14:53:26.516	10	-0.00171964	-0.00266318	-0.000133136	-0.01879
14:53:27.516	11	-0.00158807	-0.0028032	0.000332297	-0.019521
14:53:28.516	12	-0.00158476	-0.00254571	0.00102713	-0.0198926
14:53:29.516	13	-0.00108065	-0.00236154	0.00182038	-0.0204839
14:53:30.516	14	-0.000887817	-0.00211343	0.00224352	-0.0207591
14:53:31.516	15	-0.000342082	-0.00208018	0.0027258	-0.0211044
14:53:32.516	16	9.61543e-05	-0.00192173	0.00295088	-0.0218843
14:53:33.516	17	-0.000223608	-0.00155332	0.00395953	-0.0222732
14:53:34.516	18	0.000177216	-0.00165864	0.00464337	-0.0226143
14:53:35.516	19	0.00129411	-0.00130903	0.00600851	-0.0230037
14:53:36.516	20	0.00201644	-0.00115912	0.00684632	-0.0232692
14:53:37.516	21	0.0020895	-0.000606968	0.0076961	-0.023775
14:53:38.516	22	0.00243174	-0.00079102	0.00823173	-0.0247219
14:53:39.516	23	0.00317702	-0.000495164	0.00755135	-0.0255555
14:53:40.516	24	0.00358457	-0.000471159	0.00812831	-0.0265609
14:53:41.516	25	0.00396298	-7.00952e-05	0.00848219	-0.0274862
14:53:42.516	26	0.00449166	9.71058e-05	0.00919526	-0.0279898
14:53:43.516	27	0.00490058	0.000428863	0.00987772	-0.0286771
14:53:44.516	28	0.00542236	0.000214935	0.0108383	-0.0289229
14:53:45.516	29	0.00608654	0.000469754	0.0119456	-0.0294465
14:53:46.516	30	0.00617284	0.000315926	0.0131384	-0.0294374
14:53:47.516	31	0.00696725	0.000266907	0.0143165	-0.0297949
14:53:48.516	32	0.00724718	0.000613368	0.0151349	-0.0299344
14:53:49.516	33	0.00752831	3.63954e-05	0.0165671	-0.0300524
14:53:50.516	34	0.00780176	-0.000452849	0.0172799	-0.0308344
14:53:51.516	35	0.00853719	-0.000806492	0.0180829	-0.0313519
14:53:52.516	36	0.00886748	-0.000568939	0.0188287	-0.0322987
14:53:53.516	37	0.00935376	-0.000408021	0.0191477	-0.032899
14:53:54.516	38	0.00980776	-0.000381236	0.0203281	-0.0338331
14:53:55.516	39	0.0104055	3.68413e-05	0.0208431	-0.0344346
14:53:56.516	40	0.0106887	4.12044e-05	0.0217101	-0.0349507
14:53:57.516	41	0.0109118	0.00049685	0.022152	-0.03534
14:53:58.516	42	0.0116242	0.000272803	0.0231161	-0.0357074
14:53:59.516	43	0.0119427	0.000722416	0.0240711	-0.0358213
14:54:00.516	44	0.0123715	0.00123549	0.0253166	-0.036057
14:54:01.516	45	0.0133001	0.00162101	0.026349	-0.035842
