TimeOfDay	Time	E1_L08.1CG_almt5-1	E2_L13.1	E3_L08.2CG_Col0	E4_L13.2
15:33:19.886	0	-0.0303027	0.00185686	-0.0182471	-0.00571283
15:33:20.886	1	-0.0292293	0.00190901	-0.0190587	-0.00581299
15:33:21.886	2	-0.0293558	0.00205278	-0.0194051	-0.0063953
15:33:22.886	3	-0.0296867	0.00303112	-0.0204377	-0.00690752
15:33:23.886	4	-0.00836166	0.00449118	-0.0205873	-0.00630033
15:33:24.886	5	-0.0103902	0.00544062	-0.020273	-0.00597832
15:33:25.886	6	-0.0110599	0.00699009	-0.0205236	-0.00613876
15:33:26.886	7	-0.011573	0.00804661	-0.0199713	-0.00594267
15:33:27.886	8	-0.0116672	0.00936845	-0.0199778	-0.00610751
15:33:28.886	9	-0.0113626	0.0105396	-0.0200788	-0.0060885
15:33:29.886	10	-0.0110489	0.0118415	-0.0197133	-0.00564569
15:33:30.886	11	-0.0110701	0.0128118	-0.0197847	-0.00549079
15:33:31.886	12	-0.011153	0.0141045	-0.019784	-0.00531674
15:33:32.886	13	-0.0107457	0.0152598	-0.019709	-0.00521134
15:33:33.886	14	-0.0109021	0.0163419	-0.0198235	-0.00425126
15:33:34.886	15	-0.0104272	0.0169932	-0.0196943	-0.00402378
15:33:35.886	16	-0.0102313	0.0185002	-0.0192341	-0.00379286
15:33:36.886	17	-0.00961113	0.0190231	-0.0187424	-0.00316814
15:33:37.886	18	-0.00838449	0.0197964	-0.0184375	-0.00314181
15:33:38.886	19	-0.00784901	0.0207047	-0.0178759	-0.00175961
15:33:39.886	20	-0.00802951	0.0215947	-0.0175313	-0.00102265
15:33:40.886	21	-0.00800141	0.0221637	-0.0186573	-0.000931542
15:33:41.886	22	-0.00818956	0.0231392	-0.0189142	-0.00148781
15:33:42.886	23	-0.00883089	0.023682	-0.0191436	-0.000920468
15:33:43.886	24	-0.00935678	0.0244343	-0.0195947	-0.000601522
15:33:44.886	25	-0.00985641	0.0253102	-0.0197441	-0.000726944
15:33:45.886	26	-0.0101229	0.0261396	-0.0198299	-0.000716197
15:33:46.886	27	-0.0100724	0.0267352	-0.0196689	-0.000162167
15:33:47.886	28	-0.00935637	0.0273607	-0.0196189	-0.00047991
15:33:48.886	29	-0.00910754	0.0280682	-0.0189081	-4.49759e-05
15:33:49.886	30	-0.00837231	0.0287128	-0.0194198	0.000213825
15:33:50.886	31	-0.00838587	0.0289424	-0.0191828	0.000336121
15:33:51.886	32	-0.00862593	0.0299093	-0.0195358	0.000658151
15:33:52.886	33	-0.00876319	0.030543	-0.0197058	0.00129306
15:33:53.886	34	-0.00848383	0.0305776	-0.0194643	0.000878945
15:33:54.886	35	-0.00772588	0.0306592	-0.020343	0.000762981
15:33:55.886	36	-0.0066566	0.0313199	-0.021251	0.000751496
15:33:56.886	37	-0.00574171	0.0317295	-0.0217698	0.000514095
15:33:57.886	38	-0.00496447	0.0318506	-0.0223635	-0.000156942
15:33:58.886	39	-0.00490046	0.033094	-0.0222831	-0.000299589
15:33:59.886	40	-0.00474686	0.0336761	-0.0230943	-0.000590258
15:34:00.886	41	-0.00468474	0.0309505	-0.0235359	-0.000460631
15:34:01.886	42	-0.00478106	0.0196926	-0.0236261	-0.000559559
15:34:02.886	43	-0.00523229	0.0136144	-0.0235909	0.000331602
15:34:03.886	44	-0.00526965	0.0119304	-0.0235984	-6.47189e-05
15:34:04.886	45	-0.00494587	0.0125092	-0.0236666	-0.00061344
15:34:05.886	46	-0.00485058	0.0138589	-0.0233613	-0.000547601
15:34:06.886	47	-0.00457262	0.0158998	-0.0230028	-0.000249435
15:34:07.886	48	-0.00461698	0.0167075	-0.0237008	-6.09044e-06
15:34:08.886	49	-0.00452421	0.0171062	-0.0237746	-0.000323627
15:34:09.886	50	-0.00411664	0.0176507	-0.0240957	-0.000398319
15:34:10.886	51	-0.00324681	0.0180003	-0.0233652	-0.00059281
15:34:11.886	52	-0.0035082	0.0183672	-0.0235245	-0.000172222
15:34:12.886	53	-0.00345764	0.0191099	-0.0225273	-0.000614758
15:34:13.886	54	-0.00305619	0.0200397	-0.0223882	0.000138362
15:34:14.886	55	-0.00309654	0.0208422	-0.0221872	0.000434178
15:34:15.886	56	-0.00255926	0.02187	-0.022393	0.000739722
15:34:16.886	57	-0.00158124	0.0228082	-0.0223097	5.90503e-05
15:34:17.886	58	-0.000887358	0.0238297	-0.0221927	-0.000305239
15:34:18.886	59	-0.00022242	0.0242281	-0.0223569	-0.000372278
15:34:19.886	60	3.20064e-05	0.0244875	-0.0225803	-0.000430226
15:34:20.886	61	-1.01036e-05	0.0248099	-0.0224634	-0.000701218
15:34:21.886	62	0.000411157	0.0256992	-0.0225954	-0.000446811
15:34:22.886	63	0.000602371	0.0260093	-0.0224225	-0.000820865
15:34:23.886	64	0.00096856	0.026712	-0.0220668	-0.000648705
15:34:24.886	65	0.00139217	0.0273176	-0.0210997	-0.000291848
15:34:25.886	66	0.00220636	0.0281749	-0.0210939	-0.000505187
15:34:26.886	67	0.00278687	0.0287658	-0.0205633	-0.000325348
15:34:27.886	68	0.00411114	0.0296537	-0.0208985	-0.000297316
15:34:28.886	69	0.00477802	0.0301884	-0.0206938	-0.000659443
15:34:29.886	70	0.00500301	0.0308043	-0.0206257	-0.000752775
15:34:30.886	71	0.00565677	0.0313804	-0.0207233	-0.00070183
15:34:31.886	72	0.00620531	0.031691	-0.0202834	-0.000493151
15:34:32.886	73	0.00710899	0.0322464	-0.0204138	-0.000606868
15:34:33.886	74	0.00761755	0.0327364	-0.0204695	-0.000729172
15:34:34.886	75	0.00833741	0.0331894	-0.0204875	-0.000668806
15:34:35.886	76	0.00921074	0.0338515	-0.0211926	-0.000706227
15:34:36.886	77	0.0093886	0.0344315	-0.0216812	-0.000759381
15:34:37.886	78	0.0100352	0.0348033	-0.0222697	-0.00116937
15:34:38.886	79	0.0103716	0.035118	-0.0230165	-0.00207211
15:34:39.886	80	0.0109023	0.0355839	-0.0240252	-0.00263338
15:34:40.886	81	0.011489	0.036065	-0.0249142	-0.00272434
15:34:41.886	82	0.0113589	0.0368238	-0.0250236	-0.00302917
15:34:42.886	83	0.0116648	0.0371375	-0.025676	-0.00341479
15:34:43.886	84	0.0118614	0.0376656	-0.0255197	-0.00410419
15:34:44.886	85	0.0124846	0.0379071	-0.0257739	-0.0044084
15:34:45.886	86	0.0129214	0.0383749	-0.0256138	-0.00429119
15:34:46.886	87	0.0129886	0.0385389	-0.0251195	-0.00457265
15:34:47.886	88	0.0142491	0.0385849	-0.0250028	-0.00411619
15:34:48.886	89	0.0146856	0.0391433	-0.0249988	-0.00404326
15:34:49.886	90	0.0148745	0.0401706	-0.0251318	-0.00429001
15:34:50.886	91	0.0158435	0.0404445	-0.0255611	-0.00524389	F1
15:34:51.886	92	-2.02015	0.041378	-0.0260237	-0.0059009
15:34:52.886	93	-9.79386	0.0407379	-0.0260372	-0.00681433	F1
15:34:53.886	94	-9.78061	0.0412071	-0.0258617	-0.00741344
15:34:54.886	95	-0.446714	0.0425435	-0.0254737	-0.00673648
15:34:55.886	96	-3.1149	0.0422676	-0.0249919	-0.0106629
15:34:56.886	97	-9.78918	0.0429269	-0.0254497	-0.00824547
15:34:57.886	98	-3.8144	0.0453169	-0.025447	-0.00820733
15:34:58.886	99	-0.633781	0.049193	-0.0251473	-0.00795546
15:34:59.886	100	-0.600071	0.0502823	-0.0253931	-0.00879106
15:35:00.886	101	-0.573182	0.0505037	-0.0256722	-0.00934859
15:35:01.886	102	-0.55224	0.0508135	-0.0258014	-0.00985799
15:35:02.886	103	-1.22373	0.0508695	-0.0260718	-0.00982373
15:35:03.886	104	-0.502595	0.0519911	-0.0261675	-0.0105365
15:35:04.886	105	-0.480627	0.0520903	-0.0262707	-0.0117825
15:35:05.886	106	-0.451699	0.0522469	-0.026949	-0.012439
15:35:06.886	107	-0.427112	0.0524035	-0.027122	-0.0130118
15:35:07.886	108	-0.427811	0.0532038	-0.0275684	-0.0134813
15:35:08.886	109	-0.47782	0.0537429	-0.0278669	-0.0138172
15:35:09.886	110	-0.581454	0.053248	-0.0292948	-0.0145156
15:35:10.886	111	-0.635485	0.0509312	-0.0292162	-0.0146452
15:35:11.886	112	-0.563921	0.0460101	-0.0322995	-0.0177265
15:35:12.886	113	-0.570714	0.044881	-0.035818	-0.0214912
15:35:13.886	114	-0.578749	0.0450755	-0.0382866	-0.0246139
15:35:14.886	115	-0.594629	0.0432432	-0.039657	-0.0263536
15:35:15.886	116	-0.623468	0.0427227	-0.0408913	-0.0282312
15:35:16.886	117	-0.644558	0.0436927	-0.0417575	-0.0298269	F1
15:35:17.886	118	-0.654216	0.0443589	-1.11436	-0.0916027
15:35:18.886	119	-0.660194	0.0453686	-1.10594	-0.0277583
15:35:19.886	120	-0.665796	0.0483049	-0.976903	-0.0149873	F1
15:35:20.886	121	-0.66935	0.0501789	-0.943858	-0.0122015
15:35:21.886	122	-0.669186	0.0512247	-0.864282	0.00494776
15:35:22.886	123	-0.662253	0.0542873	-0.828892	0.0053447
15:35:23.886	124	-0.647361	0.0639512	-0.795992	0.00695801
15:35:24.886	125	-0.631001	0.0780625	-0.759773	0.0076796
15:35:25.886	126	-0.612361	0.0938023	-0.70974	-0.00345748
15:35:26.886	127	-0.586767	0.116242	-0.606295	0.0191737
15:35:27.886	128	-0.552526	0.149355	-0.564912	0.0178395
15:35:28.886	129	-0.538464	0.16734	-0.528738	0.0189417
15:35:29.886	130	-0.524321	0.187964	-0.516911	0.0187658
15:35:30.886	131	-0.496314	0.226212	-0.579625	0.0176916
15:35:31.886	132	-0.441652	0.290211	-0.692407	0.0169798
15:35:32.886	133	-0.422071	0.303299	-0.845576	0.0172837
15:35:33.886	134	-0.414679	0.295797	-0.928776	0.0168198
15:35:34.886	135	-0.407783	0.267316	-0.949828	0.0162371
15:35:35.886	136	-0.401223	0.192696	-0.94083	0.0157836
15:35:36.886	137	-0.396065	0.0505385	-0.929344	0.0159231
15:35:37.886	138	-0.390268	-0.0720849	-0.92265	0.015853
15:35:38.886	139	-0.384167	-0.129068	-0.92202	0.0161801
15:35:39.886	140	-0.378467	-0.142635	-0.923787	0.015876
15:35:40.886	141	-0.373	-0.140068	-0.929715	0.0159557
15:35:41.886	142	-0.368648	-0.135878	-0.93589	0.0156254
15:35:42.886	143	-0.364834	-0.134067	-0.938443	0.0160063
15:35:43.886	144	-0.361578	-0.133852	-0.934808	0.0153039
15:35:44.886	145	-0.358106	-0.135914	-0.921165	0.0176024
15:35:45.886	146	-0.354968	-0.139656	-0.905965	0.0273763
15:35:46.886	147	-0.351937	-0.144084	-0.885329	0.0424823
15:35:47.886	148	-0.348174	-0.149083	-0.866352	0.0579139
15:35:48.886	149	-0.34318	-0.155275	-0.850068	0.0740109
15:35:49.886	150	-0.334737	-0.160092	-0.836564	0.0895585
15:35:50.886	151	-0.323969	-0.164431	-0.827291	0.10713
15:35:51.886	152	-0.312159	-0.169075	-0.817784	0.0997258
15:35:52.886	153	-0.29936	-0.1737	-0.810278	0.0715581
15:35:53.886	154	-0.289367	-0.17804	-0.803927	-0.00596918
15:35:54.886	155	-0.284178	-0.182161	-0.798371	-0.191623
15:35:55.886	156	-0.280718	-0.185347	-0.79316	-0.516381
15:35:56.886	157	-0.278421	-0.18987	-0.788031	-0.74721
15:35:57.886	158	-0.276516	-0.193962	-0.781426	-0.737942
15:35:58.886	159	-0.274769	-0.197782	-0.773823	-0.734263
15:35:59.886	160	-0.273443	-0.201033	-0.765932	-0.728443
15:36:00.886	161	-0.272945	-0.204552	-0.758029	-0.72477
15:36:01.886	162	-0.27264	-0.208363	-0.747526	-0.728025
15:36:02.886	163	-0.272273	-0.212254	-0.739021	-0.730922
15:36:03.886	164	-0.272193	-0.215451	-0.731781	-0.729211
15:36:04.886	165	-0.272548	-0.21845	-0.728343	-0.73103
15:36:05.886	166	-0.273102	-0.2217	-0.727273	-0.735322
15:36:06.886	167	-0.272107	-0.223277	-0.726723	-0.740474
