"","Genotype","Leaf","Variable","Mean","SEM","N","ShapiroTest"
"1","Col0","L08","hyperpol.amplitude",13.7107146098009,13.3559622008374,2,0
"2","Col0","L08","hyperpol.slope",4.914265,4.87942166666667,2,0
"3","Col0","L08","depol.slope",-27.0437333333333,8.7797,2,0
"4","Col0","L08","depol.amplitude",-86.9597983333335,16.8094983333335,2,0
"5","Col0","L08","hyperpol.amplitude.2nd",7.04907200819672,5.29799304644808,2,0
"6","Col0","L08","bl.2nd",-25.0772086748634,17.8798702868852,2,0
"7","Col0","L08","depol.duration",40,17,2,0
"8","Col0","L08","hyperpol.duration",17.5,4.5,2,0
"9","Col0","L13","hyperpol.amplitude",20.1179308238595,9.73947722419005,2,0
"10","Col0","L13","hyperpol.slope",4.111245,2.47070833333333,2,0
"11","Col0","L13","depol.slope",-24.6684303333333,0.0395969999999988,2,0
"12","Col0","L13","depol.amplitude",-82.8197216666667,1.89662166666665,2,0
"13","Col0","L13","hyperpol.amplitude.2nd",12.2873614480874,11.7889641803279,2,0
"14","Col0","L13","bl.2nd",-15.7641631147541,0.258482513661201,2,0
"15","Col0","L13","depol.duration",90,37,2,0
"16","Col0","L13","hyperpol.duration",6.5,0.5,2,0
"17","mutant","L08","hyperpol.amplitude",-0.699186197316365,2.52698464478889,2,0
"18","mutant","L08","hyperpol.slope",2.22476833333334,2.15369833333334,2,0
"19","mutant","L08","depol.slope",-22.5836583333333,1.795025,2,0
"20","mutant","L08","depol.amplitude",-78.330265,1.488255,2,0
"21","mutant","L08","hyperpol.amplitude.2nd",6.85702284153005,6.25125153005465,2,0
"22","mutant","L08","bl.2nd",-20.79623784153,2.04946680327865,2,0
"23","mutant","L08","depol.duration",31.5,2.5,2,0
"24","mutant","L08","hyperpol.duration",17.5,10.5,2,0
"25","mutant","L13","hyperpol.amplitude",27.8161885227963,0.57469412719195,2,0
"26","mutant","L13","hyperpol.slope",4.123005,0.0273050000000001,2,0
"27","mutant","L13","depol.slope",-10.5851366666666,0.72822666666665,2,0
"28","mutant","L13","depol.amplitude",-49.2404466666667,14.74052,2,0
"29","mutant","L13","hyperpol.amplitude.2nd",2.07040655737705,0.744425409836065,2,0
"30","mutant","L13","bl.2nd",-2.81707155737702,10.3900937431694,2,0
"31","mutant","L13","depol.duration",245.5,94.5,2,0
"32","mutant","L13","hyperpol.duration",7,1,2,0
