"Seconds","Leaf","V","plant","Genotype","Stim","Date","DayTime","Plot","id"
0,"L08",-1.82471,2,"Col0","CG",250101,"15:33:19.886","Yes",1
1,"L08",-1.90587,2,"Col0","CG",250101,"15:33:20.886","Yes",1
2,"L08",-1.94051,2,"Col0","CG",250101,"15:33:21.886","Yes",1
3,"L08",-2.04377,2,"Col0","CG",250101,"15:33:22.886","Yes",1
4,"L08",-2.05873,2,"Col0","CG",250101,"15:33:23.886","Yes",1
5,"L08",-2.0273,2,"Col0","CG",250101,"15:33:24.886","Yes",1
6,"L08",-2.05236,2,"Col0","CG",250101,"15:33:25.886","Yes",1
7,"L08",-1.99713,2,"Col0","CG",250101,"15:33:26.886","Yes",1
8,"L08",-1.99778,2,"Col0","CG",250101,"15:33:27.886","Yes",1
9,"L08",-2.00788,2,"Col0","CG",250101,"15:33:28.886","Yes",1
10,"L08",-1.97133,2,"Col0","CG",250101,"15:33:29.886","Yes",1
11,"L08",-1.97847,2,"Col0","CG",250101,"15:33:30.886","Yes",1
12,"L08",-1.9784,2,"Col0","CG",250101,"15:33:31.886","Yes",1
13,"L08",-1.9709,2,"Col0","CG",250101,"15:33:32.886","Yes",1
14,"L08",-1.98235,2,"Col0","CG",250101,"15:33:33.886","Yes",1
15,"L08",-1.96943,2,"Col0","CG",250101,"15:33:34.886","Yes",1
16,"L08",-1.92341,2,"Col0","CG",250101,"15:33:35.886","Yes",1
17,"L08",-1.87424,2,"Col0","CG",250101,"15:33:36.886","Yes",1
18,"L08",-1.84375,2,"Col0","CG",250101,"15:33:37.886","Yes",1
19,"L08",-1.78759,2,"Col0","CG",250101,"15:33:38.886","Yes",1
20,"L08",-1.75313,2,"Col0","CG",250101,"15:33:39.886","Yes",1
21,"L08",-1.86573,2,"Col0","CG",250101,"15:33:40.886","Yes",1
22,"L08",-1.89142,2,"Col0","CG",250101,"15:33:41.886","Yes",1
23,"L08",-1.91436,2,"Col0","CG",250101,"15:33:42.886","Yes",1
24,"L08",-1.95947,2,"Col0","CG",250101,"15:33:43.886","Yes",1
25,"L08",-1.97441,2,"Col0","CG",250101,"15:33:44.886","Yes",1
26,"L08",-1.98299,2,"Col0","CG",250101,"15:33:45.886","Yes",1
27,"L08",-1.96689,2,"Col0","CG",250101,"15:33:46.886","Yes",1
28,"L08",-1.96189,2,"Col0","CG",250101,"15:33:47.886","Yes",1
29,"L08",-1.89081,2,"Col0","CG",250101,"15:33:48.886","Yes",1
30,"L08",-1.94198,2,"Col0","CG",250101,"15:33:49.886","Yes",1
31,"L08",-1.91828,2,"Col0","CG",250101,"15:33:50.886","Yes",1
32,"L08",-1.95358,2,"Col0","CG",250101,"15:33:51.886","Yes",1
33,"L08",-1.97058,2,"Col0","CG",250101,"15:33:52.886","Yes",1
34,"L08",-1.94643,2,"Col0","CG",250101,"15:33:53.886","Yes",1
35,"L08",-2.0343,2,"Col0","CG",250101,"15:33:54.886","Yes",1
36,"L08",-2.1251,2,"Col0","CG",250101,"15:33:55.886","Yes",1
37,"L08",-2.17698,2,"Col0","CG",250101,"15:33:56.886","Yes",1
38,"L08",-2.23635,2,"Col0","CG",250101,"15:33:57.886","Yes",1
39,"L08",-2.22831,2,"Col0","CG",250101,"15:33:58.886","Yes",1
40,"L08",-2.30943,2,"Col0","CG",250101,"15:33:59.886","Yes",1
41,"L08",-2.35359,2,"Col0","CG",250101,"15:34:00.886","Yes",1
42,"L08",-2.36261,2,"Col0","CG",250101,"15:34:01.886","Yes",1
43,"L08",-2.35909,2,"Col0","CG",250101,"15:34:02.886","Yes",1
44,"L08",-2.35984,2,"Col0","CG",250101,"15:34:03.886","Yes",1
45,"L08",-2.36666,2,"Col0","CG",250101,"15:34:04.886","Yes",1
