"Seconds","Leaf","V","plant","Genotype","Stim","Date","DayTime","Plot","id"
0,"L08",-3.03027,1,"mutant","CG",250101,"15:33:19.886","Yes",1
1,"L08",-2.92293,1,"mutant","CG",250101,"15:33:20.886","Yes",1
2,"L08",-2.93558,1,"mutant","CG",250101,"15:33:21.886","Yes",1
3,"L08",-2.96867,1,"mutant","CG",250101,"15:33:22.886","Yes",1
4,"L08",-0.836166,1,"mutant","CG",250101,"15:33:23.886","Yes",1
5,"L08",-1.03902,1,"mutant","CG",250101,"15:33:24.886","Yes",1
6,"L08",-1.10599,1,"mutant","CG",250101,"15:33:25.886","Yes",1
7,"L08",-1.1573,1,"mutant","CG",250101,"15:33:26.886","Yes",1
8,"L08",-1.16672,1,"mutant","CG",250101,"15:33:27.886","Yes",1
9,"L08",-1.13626,1,"mutant","CG",250101,"15:33:28.886","Yes",1
10,"L08",-1.10489,1,"mutant","CG",250101,"15:33:29.886","Yes",1
11,"L08",-1.10701,1,"mutant","CG",250101,"15:33:30.886","Yes",1
12,"L08",-1.1153,1,"mutant","CG",250101,"15:33:31.886","Yes",1
13,"L08",-1.07457,1,"mutant","CG",250101,"15:33:32.886","Yes",1
14,"L08",-1.09021,1,"mutant","CG",250101,"15:33:33.886","Yes",1
15,"L08",-1.04272,1,"mutant","CG",250101,"15:33:34.886","Yes",1
16,"L08",-1.02313,1,"mutant","CG",250101,"15:33:35.886","Yes",1
17,"L08",-0.961113,1,"mutant","CG",250101,"15:33:36.886","Yes",1
18,"L08",-0.838449,1,"mutant","CG",250101,"15:33:37.886","Yes",1
19,"L08",-0.784901,1,"mutant","CG",250101,"15:33:38.886","Yes",1
20,"L08",-0.802951,1,"mutant","CG",250101,"15:33:39.886","Yes",1
21,"L08",-0.800141,1,"mutant","CG",250101,"15:33:40.886","Yes",1
22,"L08",-0.818956,1,"mutant","CG",250101,"15:33:41.886","Yes",1
23,"L08",-0.883089,1,"mutant","CG",250101,"15:33:42.886","Yes",1
24,"L08",-0.935678,1,"mutant","CG",250101,"15:33:43.886","Yes",1
25,"L08",-0.985641,1,"mutant","CG",250101,"15:33:44.886","Yes",1
26,"L08",-1.01229,1,"mutant","CG",250101,"15:33:45.886","Yes",1
27,"L08",-1.00724,1,"mutant","CG",250101,"15:33:46.886","Yes",1
28,"L08",-0.935637,1,"mutant","CG",250101,"15:33:47.886","Yes",1
29,"L08",-0.910754,1,"mutant","CG",250101,"15:33:48.886","Yes",1
30,"L08",-0.837231,1,"mutant","CG",250101,"15:33:49.886","Yes",1
31,"L08",-0.838587,1,"mutant","CG",250101,"15:33:50.886","Yes",1
32,"L08",-0.862593,1,"mutant","CG",250101,"15:33:51.886","Yes",1
33,"L08",-0.876319,1,"mutant","CG",250101,"15:33:52.886","Yes",1
34,"L08",-0.848383,1,"mutant","CG",250101,"15:33:53.886","Yes",1
35,"L08",-0.772588,1,"mutant","CG",250101,"15:33:54.886","Yes",1
36,"L08",-0.66566,1,"mutant","CG",250101,"15:33:55.886","Yes",1
37,"L08",-0.574171,1,"mutant","CG",250101,"15:33:56.886","Yes",1
38,"L08",-0.496447,1,"mutant","CG",250101,"15:33:57.886","Yes",1
39,"L08",-0.490046,1,"mutant","CG",250101,"15:33:58.886","Yes",1
40,"L08",-0.474686,1,"mutant","CG",250101,"15:33:59.886","Yes",1
41,"L08",-0.468474,1,"mutant","CG",250101,"15:34:00.886","Yes",1
42,"L08",-0.478106,1,"mutant","CG",250101,"15:34:01.886","Yes",1
43,"L08",-0.523229,1,"mutant","CG",250101,"15:34:02.886","Yes",1
44,"L08",-0.526965,1,"mutant","CG",250101,"15:34:03.886","Yes",1
45,"L08",-0.494587,1,"mutant","CG",250101,"15:34:04.886","Yes",1
46,"L08",-0.485058,1,"mutant","CG",250101,"15:34:05.886","Yes",1
47,"L08",-0.457262,1,"mutant","CG",250101,"15:34:06.886","Yes",1
48,"L08",-0.461698,1,"mutant","CG",250101,"15:34:07.886","Yes",1
49,"L08",-0.452421,1,"mutant","CG",250101,"15:34:08.886","Yes",1
