Time	E1_L13.1	E2_L08.1PG_Col0	E3_L13.2	E4_L08.2PG_Col0
0	-0.0141839	-0.00589782	-0.00305528	0.00122363
0.1	-0.0145159	-0.00636675	-0.00334062	0.00108446
0.2	-0.0144684	-0.00644505	-0.00326976	0.00125924
0.3	-0.0145322	-0.00643944	-0.00309124	0.00135096
0.4	-0.0144857	-0.00660857	-0.00329976	0.00140027
0.5	-0.0146095	-0.00670682	-0.00330424	0.0014459
0.6	-0.0146195	-0.00683803	-0.0032285	0.00148035
0.7	-0.0146008	-0.00661444	-0.00340244	0.0014288
0.8	-0.0145627	-0.00665612	-0.0031855	0.00149705
0.9	-0.0144231	-0.00682633	-0.00330222	0.00147634
1	-0.0143812	-0.00671808	-0.00313867	0.00142367
1.1	-0.0144697	-0.00669488	-0.00316257	0.00154787
1.2	-0.0145058	-0.00672406	-0.00305785	0.00149084
1.3	-0.0144705	-0.00664423	-0.00293564	0.00155353
1.4	-0.0142887	-0.00682258	-0.00271389	0.0017117
1.5	-0.0141506	-0.00665989	-0.00263321	0.00197549
1.6	-0.0139242	-0.0066335	-0.00254627	0.00192591
1.7	-0.0138261	-0.00660522	-0.00260853	0.00199056
1.8	-0.0137805	-0.00634246	-0.0022915	0.00231064
1.9	-0.0135545	-0.00641791	-0.00225464	0.00267715
2	-0.0138379	-0.0062834	-0.00207883	0.00265358
2.1	-0.0137386	-0.0065254	-0.00202001	0.00261375
2.2	-0.0134095	-0.00646879	-0.00220259	0.00276244
2.3	-0.0132922	-0.00637551	-0.00202001	0.00290805
2.4	-0.0131992	-0.00633941	-0.0019063	0.0028165
2.5	-0.0128104	-0.00643064	-0.00194558	0.00298439
2.6	-0.012721	-0.006475	-0.002024	0.00313558
2.7	-0.0128908	-0.00635934	-0.00210892	0.00318831
2.8	-0.0126503	-0.00637636	-0.00204492	0.0030991
2.9	-0.0125724	-0.0062293	-0.00225098	0.0034678
3	-0.0124935	-0.00617597	-0.00211085	0.00336613
3.1	-0.0124021	-0.00617993	-0.00184752	0.00342151
3.2	-0.0123241	-0.00608836	-0.00187885	0.00349945
3.3	-0.0121831	-0.00595788	-0.00190383	0.00367512
3.4	-0.012298	-0.00611155	-0.00187874	0.00386263
3.5	-0.0121469	-0.00597615	-0.00179928	0.00379
3.6	-0.0120298	-0.00592527	-0.0016125	0.00392696
3.7	-0.011856	-0.00585919	-0.00161583	0.00391817
3.8	-0.0115571	-0.00570573	-0.00161208	0.00396656
3.9	-0.0116399	-0.0058034	-0.00127895	0.00401446
4	-0.0116711	-0.00591496	-0.00120745	0.00389261
4.1	-0.0117987	-0.00585673	-0.00140509	0.00397755
4.2	-0.0115044	-0.00586804	-0.00131784	0.00409499
4.3	-0.0114437	-0.00605986	-0.00130664	0.00411026
4.4	-0.011338	-0.00588563	-0.00144443	0.00433798
4.5	-0.0112257	-0.005717	-0.00125382	0.00427354
4.6	-0.0110925	-0.00578664	-0.00118544	0.00427239
4.7	-0.0109125	-0.00577147	-0.00116856	0.00441917
4.8	-0.0109711	-0.0058569	-0.00093691	0.00455996
4.9	-0.0108411	-0.00551722	-0.000664332	0.00449506
5	-0.0108306	-0.00562683	-0.000690331	0.00436946
5.1	-0.0105779	-0.00543223	-0.000729399	0.00432364
5.2	-0.0103083	-0.00545979	-0.000607572	0.00450212
5.3	-0.0105822	-0.00547397	-0.000687343	0.00446758
5.4	-0.0103229	-0.00534241	-0.000487128	0.00432034
5.5	-0.0102311	-0.0052604	-0.000235668	0.00436426
5.6	-0.0101744	-0.00517825	-0.000610853	0.00446625
5.7	-0.0101347	-0.00499511	-0.000797526	0.00444928
5.8	-0.00993486	-0.00513908	-0.000142098	0.0044672
5.9	-0.0100272	-0.00501618	-0.000446219	0.00452841
6	-0.00986566	-0.0050664	-0.000400514	0.00454884
6.1	-0.00991243	-0.00495691	-0.000686957	0.00474622
6.2	-0.00997888	-0.00489153	-0.000831239	0.00480204
6.3	-0.010103	-0.0048746	-0.000486393	0.00503162
6.4	-0.0100765	-0.00510583	-0.000467439	0.00486393
6.5	-0.0100009	-0.0050944	-0.000395795	0.00472975
6.6	-0.0099525	-0.00500117	-0.000625018	0.00485575
6.7	-0.00981959	-0.00502075	-0.000486576	0.00490757
6.8	-0.00977839	-0.00499242	-0.000312203	0.00490708
6.9	-0.00983224	-0.00500688	-0.000349949	0.00470205
7	-0.00975349	-0.00505399	-4.73999e-05	0.00484554
7.1	-0.00971886	-0.00508663	-0.000246476	0.00490127
7.2	-0.00986165	-0.00488504	-0.000147413	0.00480987
7.3	-0.00962058	-0.0049602	-0.000133434	0.00488054
7.4	-0.0097411	-0.00470484	1.51751e-05	0.00472226
7.5	-0.0095199	-0.00474732	-0.000222713	0.00478765
7.6	-0.00934047	-0.00496486	-0.000146981	0.00490031
7.7	-0.00924654	-0.00469354	-2.90397e-05	0.0050416
7.8	-0.00902878	-0.00487166	-0.000223652	0.00531565
7.9	-0.0088723	-0.004706	-0.000302506	0.00512599
8	-0.00891973	-0.00464977	-0.000312492	0.00519191
8.1	-0.00863625	-0.00468044	-9.42467e-05	0.00545219
8.2	-0.00851644	-0.00457822	-0.000111382	0.00544128
8.3	-0.00850535	-0.00460256	-0.000461432	0.00560018
8.4	-0.00843498	-0.00448718	0.000110561	0.00556884
8.5	-0.00841211	-0.00452712	3.60883e-05	0.00564678
8.6	-0.00820191	-0.00458448	-0.000106844	0.00597094
8.7	-0.00819744	-0.00465463	-0.000226055	0.00604628
8.8	-0.0080534	-0.00487865	-0.000135074	0.00610045
8.9	-0.00812428	-0.00488914	-0.000273331	0.00622277
