"Seconds","Leaf","V","plant","Genotype","Stim","Date","DayTime","Plot","id"
0,"L08",1.12012,2,"example1","CG",241010,"15:19:44.953","Yes",1
1,"L08",1.05645,2,"example1","CG",241010,"15:19:45.953","Yes",1
2,"L08",1.08854,2,"example1","CG",241010,"15:19:46.953","Yes",1
3,"L08",1.04922,2,"example1","CG",241010,"15:19:47.953","Yes",1
4,"L08",1.06699,2,"example1","CG",241010,"15:19:48.953","Yes",1
5,"L08",1.09177,2,"example1","CG",241010,"15:19:49.953","Yes",1
6,"L08",1.09655,2,"example1","CG",241010,"15:19:50.953","Yes",1
7,"L08",1.15918,2,"example1","CG",241010,"15:19:51.953","Yes",1
8,"L08",1.22655,2,"example1","CG",241010,"15:19:52.953","Yes",1
9,"L08",1.23734,2,"example1","CG",241010,"15:19:53.953","Yes",1
10,"L08",1.2381,2,"example1","CG",241010,"15:19:54.953","Yes",1
11,"L08",1.22865,2,"example1","CG",241010,"15:19:55.953","Yes",1
12,"L08",1.19422,2,"example1","CG",241010,"15:19:56.953","Yes",1
13,"L08",1.21097,2,"example1","CG",241010,"15:19:57.953","Yes",1
14,"L08",1.24221,2,"example1","CG",241010,"15:19:58.953","Yes",1
15,"L08",1.2487,2,"example1","CG",241010,"15:19:59.953","Yes",1
16,"L08",1.32475,2,"example1","CG",241010,"15:20:00.953","Yes",1
17,"L08",1.28747,2,"example1","CG",241010,"15:20:01.953","Yes",1
18,"L08",1.34689,2,"example1","CG",241010,"15:20:02.953","Yes",1
19,"L08",1.40206,2,"example1","CG",241010,"15:20:03.953","Yes",1
20,"L08",1.35745,2,"example1","CG",241010,"15:20:04.953","Yes",1
21,"L08",1.35245,2,"example1","CG",241010,"15:20:05.953","Yes",1
22,"L08",1.32403,2,"example1","CG",241010,"15:20:06.953","Yes",1
23,"L08",1.23456,2,"example1","CG",241010,"15:20:07.953","Yes",1
24,"L08",1.21924,2,"example1","CG",241010,"15:20:08.953","Yes",1
25,"L08",1.18571,2,"example1","CG",241010,"15:20:09.953","Yes",1
26,"L08",0.646414,2,"example1","CG",241010,"15:20:10.953","Yes",1
27,"L08",0.629079,2,"example1","CG",241010,"15:20:11.953","Yes",1
28,"L08",0.644726,2,"example1","CG",241010,"15:20:12.953","Yes",1
29,"L08",0.687181,2,"example1","CG",241010,"15:20:13.953","Yes",1
30,"L08",0.7254,2,"example1","CG",241010,"15:20:14.953","Yes",1
31,"L08",0.857359,2,"example1","CG",241010,"15:20:15.953","Yes",1
32,"L08",0.911754,2,"example1","CG",241010,"15:20:16.953","Yes",1
33,"L08",0.94792,2,"example1","CG",241010,"15:20:17.953","Yes",1
34,"L08",1.0467,2,"example1","CG",241010,"15:20:18.953","Yes",1
35,"L08",1.05279,2,"example1","CG",241010,"15:20:19.953","Yes",1
36,"L08",1.04246,2,"example1","CG",241010,"15:20:20.953","Yes",1
37,"L08",1.01049,2,"example1","CG",241010,"15:20:21.953","Yes",1
38,"L08",1.0327,2,"example1","CG",241010,"15:20:22.953","Yes",1
39,"L08",1.01941,2,"example1","CG",241010,"15:20:23.953","Yes",1
40,"L08",1.01215,2,"example1","CG",241010,"15:20:24.953","Yes",1
41,"L08",1.02397,2,"example1","CG",241010,"15:20:25.953","Yes",1
42,"L08",1.03491,2,"example1","CG",241010,"15:20:26.953","Yes",1
43,"L08",1.03219,2,"example1","CG",241010,"15:20:27.953","Yes",1
44,"L08",1.06531,2,"example1","CG",241010,"15:20:28.953","Yes",1
45,"L08",1.05101,2,"example1","CG",241010,"15:20:29.953","Yes",1
46,"L08",1.09084,2,"example1","CG",241010,"15:20:30.953","Yes",1
47,"L08",1.09759,2,"example1","CG",241010,"15:20:31.953","Yes",1
48,"L08",1.11876,2,"example1","CG",241010,"15:20:32.953","Yes",1
49,"L08",1.12073,2,"example1","CG",241010,"15:20:33.953","Yes",1
50,"L08",1.15192,2,"example1","CG",241010,"15:20:34.953","Yes",1
51,"L08",1.12614,2,"example1","CG",241010,"15:20:35.953","Yes",1
52,"L08",1.05678,2,"example1","CG",241010,"15:20:36.953","Yes",1
53,"L08",0.957155,2,"example1","CG",241010,"15:20:37.953","Yes",1
54,"L08",0.914136,2,"example1","CG",241010,"15:20:38.953","Yes",1
55,"L08",0.825461,2,"example1","CG",241010,"15:20:39.953","Yes",1
56,"L08",0.768584,2,"example1","CG",241010,"15:20:40.953","Yes",1
57,"L08",0.656797,2,"example1","CG",241010,"15:20:41.953","Yes",1
58,"L08",0.586985,2,"example1","CG",241010,"15:20:42.953","Yes",1
59,"L08",0.607105,2,"example1","CG",241010,"15:20:43.953","Yes",1
60,"L08",0.654191,2,"example1","CG",241010,"15:20:44.953","Yes",1
61,"L08",0.732198,2,"example1","CG",241010,"15:20:45.953","Yes",1
62,"L08",0.743498,2,"example1","CG",241010,"15:20:46.953","Yes",1
63,"L08",0.70007,2,"example1","CG",241010,"15:20:47.953","Yes",1
64,"L08",0.64906,2,"example1","CG",241010,"15:20:48.953","Yes",1
65,"L08",0.619197,2,"example1","CG",241010,"15:20:49.953","Yes",1
66,"L08",0.695187,2,"example1","CG",241010,"15:20:50.953","Yes",1
67,"L08",0.704581,2,"example1","CG",241010,"15:20:51.953","Yes",1
68,"L08",0.805585,2,"example1","CG",241010,"15:20:52.953","Yes",1
69,"L08",0.828513,2,"example1","CG",241010,"15:20:53.953","Yes",1
70,"L08",0.831031,2,"example1","CG",241010,"15:20:54.953","Yes",1
71,"L08",0.814761,2,"example1","CG",241010,"15:20:55.953","Yes",1
72,"L08",0.769438,2,"example1","CG",241010,"15:20:56.953","Yes",1
73,"L08",0.815549,2,"example1","CG",241010,"15:20:57.953","Yes",1
74,"L08",0.830334,2,"example1","CG",241010,"15:20:58.953","Yes",1
