TimeOfDay	Time	E1_L08.1CG_example1	E2_L13.1	E3_L13.2	E4_L08.2CG_Col0
15:06:48.139	0	-0.00521907	0.0143483	0.000876883	-0.0114768
15:06:49.139	1	-0.00489616	0.0148718	0.00128487	-0.0109008
15:06:50.139	2	-0.00448174	0.0152373	0.00223962	-0.0102984
15:06:51.139	3	-0.00415908	0.0156329	0.00311158	-0.00875113
15:06:52.139	4	-0.00320395	0.0161323	0.00436283	-0.00846125
15:06:53.139	5	-0.0028435	0.016484	0.0055421	-0.00764362
15:06:54.139	6	-0.00286861	0.0167054	0.006394	-0.00663328
15:06:55.139	7	-0.00220038	0.0172512	0.00715718	-0.00570807
15:06:56.139	8	-0.00164843	0.0176848	0.00811315	-0.00504166
15:06:57.139	9	-0.00140553	0.0177538	0.00887243	-0.00413187
15:06:58.139	10	-0.00115958	0.0176999	0.0089741	-0.00392185
15:06:59.139	11	-0.000865221	0.0166864	0.00782166	-0.00350867
15:07:00.139	12	-5.54258e-05	0.016611	0.00758705	-0.00364166
15:07:01.139	13	-0.000189213	0.0168349	0.0081222	-0.00295119
15:07:02.139	14	-4.94436e-05	0.0169005	0.00860447	-0.00240398
15:07:03.139	15	0.000338204	0.0169866	0.009984	-0.00141542
15:07:04.139	16	0.00080906	0.0175736	0.010918	-0.0010066
15:07:05.139	17	0.00148496	0.0180303	0.0110534	-0.000952841
15:07:06.139	18	0.00172949	0.0181045	0.0121457	3.62159e-05
15:07:07.139	19	0.0018608	0.0182348	0.0130606	-6.92157e-05
15:07:08.139	20	0.00217494	0.0178624	0.0130927	0.000931153
15:07:09.139	21	0.00239294	0.0176812	0.0133506	0.00139601
15:07:10.139	22	0.00311584	0.0176749	0.0141483	0.00166929
15:07:11.139	23	0.00366377	0.0178501	0.0146158	0.00250462
15:07:12.139	24	0.00398592	0.0183611	0.0158302	0.00326237
15:07:13.139	25	0.00441511	0.0188061	0.0166137	0.00377504
15:07:14.139	26	0.00535031	0.0194281	0.0168552	0.00438719
15:07:15.139	27	0.00560369	0.0199904	0.0183162	0.00539364
15:07:16.139	28	0.00634585	0.0205825	0.0185391	0.00599429
15:07:17.139	29	0.00655753	0.021003	0.019148	0.00653195
15:07:18.139	30	0.00690069	0.0214664	0.0191557	0.00619936
15:07:19.139	31	0.00779043	0.0217864	0.0193971	0.00666004
15:07:20.139	32	0.00824312	0.0220139	0.0195226	0.00718462
15:07:21.139	33	0.00884523	0.022343	0.0194556	0.00758367
15:07:22.139	34	0.00956857	0.0201643	0.0188836	0.00773493
15:07:23.139	35	0.0102902	0.0195563	0.0168039	0.00724514
15:07:24.139	36	0.0106275	0.0190235	0.0155168	0.00680567
15:07:25.139	37	0.0109875	0.0188522	0.014505	0.00635301
15:07:26.139	38	0.0115237	0.018931	0.0149167	0.00666526
15:07:27.139	39	0.0119342	0.0193007	0.0150925	0.00692588
15:07:28.139	40	0.0120362	0.0196037	0.0153462	0.00708037
